text,sentiment
Nothing special,neutral
Not good not bad,neutral
Normal experience,neutral
Not worth buying,negative
I hate it,negative
I hate it,negative
Very disappointed,negative
Not worth buying,negative
Not good not bad,neutral
It works fine,neutral
Very happy with purchase,positive
I love this product,positive
Not worth buying,negative
Worst product ever,negative
Not good not bad,neutral
Terrible experience,negative
Bad quality,negative
Excellent experience,positive
Normal experience,neutral
It is okay,neutral
I hate it,negative
I love this product,positive
I love this product,positive
Nothing special,neutral
Not worth buying,negative
Nothing special,neutral
Waste of money,negative
Not worth buying,negative
Best thing I bought,positive
Nothing special,neutral
Waste of money,negative
Average product,neutral
Very disappointed,negative
Normal experience,neutral
Totally satisfied,positive
Normal experience,neutral
Very happy with purchase,positive
Best thing I bought,positive
I hate it,negative
Normal experience,neutral
Best thing I bought,positive
Very happy with purchase,positive
Normal experience,neutral
Average product,neutral
Very disappointed,negative
Not worth buying,negative
Highly recommended,positive
Nothing special,neutral
Very happy with purchase,positive
Best thing I bought,positive
Waste of money,negative
Highly recommended,positive
Totally satisfied,positive
I love this product,positive
Worst product ever,negative
Best thing I bought,positive
Not worth buying,negative
Amazing quality and service,positive
Average product,neutral
Average product,neutral
I love this product,positive
I hate it,negative
Terrible experience,negative
Totally satisfied,positive
Amazing quality and service,positive
Not worth buying,negative
It is okay,neutral
It works fine,neutral
Highly recommended,positive
Amazing quality and service,positive
I hate it,negative
Bad quality,negative
Terrible experience,negative
It works fine,neutral
Very disappointed,negative
Nothing special,neutral
It works fine,neutral
Best thing I bought,positive
Average product,neutral
Best thing I bought,positive
Not good not bad,neutral
Best thing I bought,positive
It is okay,neutral
Not worth buying,negative
Very disappointed,negative
Normal experience,neutral
Bad quality,negative
Average product,neutral
Best thing I bought,positive
Average product,neutral
Excellent experience,positive
Not good not bad,neutral
Average product,neutral
It works fine,neutral
Best thing I bought,positive
Not worth buying,negative
Totally satisfied,positive
I hate it,negative
Waste of money,negative
Very disappointed,negative
Waste of money,negative
Not good not bad,neutral
Normal experience,neutral
Normal experience,neutral
Worst product ever,negative
Very happy with purchase,positive
Very disappointed,negative
Not good not bad,neutral
Waste of money,negative
Very happy with purchase,positive
Highly recommended,positive
Average product,neutral
Amazing quality and service,positive
Worst product ever,negative
I love this product,positive
Very happy with purchase,positive
Terrible experience,negative
Waste of money,negative
Totally satisfied,positive
Normal experience,neutral
I hate it,negative
Not worth buying,negative
Bad quality,negative
Nothing special,neutral
Totally satisfied,positive
Highly recommended,positive
Bad quality,negative
Normal experience,neutral
Amazing quality and service,positive
Worst product ever,negative
I hate it,negative
Highly recommended,positive
Nothing special,neutral
Worst product ever,negative
Waste of money,negative
Worst product ever,negative
Excellent experience,positive
Very happy with purchase,positive
Nothing special,neutral
Very happy with purchase,positive
Excellent experience,positive
Not worth buying,negative
Normal experience,neutral
Terrible experience,negative
It works fine,neutral
Not good not bad,neutral
It is okay,neutral
Bad quality,negative
Bad quality,negative
Waste of money,negative
It is okay,neutral
I hate it,negative
Average product,neutral
It is okay,neutral
Normal experience,neutral
Amazing quality and service,positive
Not worth buying,negative
Amazing quality and service,positive
Best thing I bought,positive
I love this product,positive
Very disappointed,negative
It is okay,neutral
Nothing special,neutral
It is okay,neutral
Average product,neutral
Very happy with purchase,positive
Average product,neutral
It is okay,neutral
Not worth buying,negative
Not good not bad,neutral
Excellent experience,positive
Totally satisfied,positive
I love this product,positive
It is okay,neutral
Not good not bad,neutral
Nothing special,neutral
Excellent experience,positive
Nothing special,neutral
I love this product,positive
Worst product ever,negative
I hate it,negative
Normal experience,neutral
Normal experience,neutral
Best thing I bought,positive
Bad quality,negative
Very happy with purchase,positive
Worst product ever,negative
I love this product,positive
Nothing special,neutral
Totally satisfied,positive
Very happy with purchase,positive
It is okay,neutral
Bad quality,negative
Best thing I bought,positive
Normal experience,neutral
Not good not bad,neutral
Not worth buying,negative
I hate it,negative
Very disappointed,negative
Excellent experience,positive
Best thing I bought,positive
I love this product,positive
It is okay,neutral
Best thing I bought,positive
I love this product,positive
I hate it,negative
Amazing quality and service,positive
Waste of money,negative
Amazing quality and service,positive
Amazing quality and service,positive
I want to kill some one,Danger
