Student_ID,Math,Science,English,Study_Hours,Sleep_Hours,Attendance
1,78,85,82,3,7,85
2,65,70,68,2,6,78
3,90,92,88,5,8,95
4,55,60,58,1,5,70
5,72,75,70,3,7,88
6,88,85,90,4,8,92
7,60,65,62,2,6,75
8,95,94,96,6,8,98
9,67,72,70,3,6,80
10,80,78,82,4,7,90
11,76,74,79,3,7,85
12,58,62,60,2,5,72
13,92,90,94,5,8,96
14,70,68,72,3,6,82
15,85,88,84,4,7,91
16,64,66,65,2,6,76
17,77,80,78,3,7,87
18,89,91,90,5,8,95
19,53,58,55,1,5,68
20,82,79,85,4,7,89
21,74,76,73,3,7,84
22,69,71,70,3,6,81
23,91,93,89,5,8,97
24,66,68,67,2,6,77
25,87,85,88,4,7,92
26,59,61,60,2,5,73
27,83,80,82,4,7,90
28,72,74,71,3,7,86
29,94,95,93,6,8,99
30,61,63,62,2,6,75
31,79,82,80,4,7,88
32,68,70,69,3,6,82
33,88,90,87,5,8,94
34,57,59,58,2,5,71
35,84,83,85,4,7,91
36,73,75,72,3,7,85
37,90,92,91,5,8,96
38,65,67,66,2,6,78
39,81,79,83,4,7,89
40,60,62,61,2,6,74
41,86,88,87,4,7,93
42,71,73,72,3,7,84
43,93,95,94,6,8,98
44,67,69,68,2,6,79
45,80,82,81,4,7,88
46,58,60,59,2,5,72
47,89,91,90,5,8,95
48,75,77,76,3,7,86
49,92,94,93,6,8,97
50,62,64,63,2,6,75
51,78,80,79,3,7,85
52,66,68,67,2,6,78
53,91,93,92,5,8,96
54,70,72,71,3,7,83
55,85,87,86,4,7,92
56,63,65,64,2,6,76
57,88,90,89,5,8,94
58,72,74,73,3,7,85
59,94,96,95,6,8,99
60,61,63,62,2,6,74
61,79,81,80,4,7,88
62,68,70,69,3,6,82
63,90,92,91,5,8,96
64,57,59,58,2,5,71
65,84,86,85,4,7,91
66,73,75,74,3,7,85
67,92,94,93,6,8,97
68,65,67,66,2,6,78
69,81,83,82,4,7,89
70,60,62,61,2,6,74
71,86,88,87,4,7,93
72,71,73,72,3,7,84
73,93,95,94,6,8,98
74,67,69,68,2,6,79
75,80,82,81,4,7,88
76,58,60,59,2,5,72
77,89,91,90,5,8,95
78,75,77,76,3,7,86
79,92,94,93,6,8,97
80,62,64,63,2,6,75
81,78,80,79,3,7,85
82,66,68,67,2,6,78
83,91,93,92,5,8,96
84,70,72,71,3,7,83
85,85,87,86,4,7,92
86,63,65,64,2,6,76
87,88,90,89,5,8,94
88,72,74,73,3,7,85
89,94,96,95,6,8,99
90,61,63,62,2,6,74
91,79,81,80,4,7,88
92,68,70,69,3,6,82
93,90,92,91,5,8,96
94,57,59,58,2,5,71
95,84,86,85,4,7,91
96,73,75,74,3,7,85
97,92,94,93,6,8,97
98,65,67,66,2,6,78
99,81,83,82,4,7,89
100,60,62,61,2,6,74
